agent_type,rep_n,train_n,uncertainty
MB,1,71,0.2251747410420888
MB,1,72,0.2249362257563461
MB,1,73,0.22471115033895384
MB,1,74,0.22449868078295454
MB,1,75,0.22429804280822352
MB,1,76,0.22410851676381338
MB,1,77,0.2239294330487379
MB,1,78,0.2237601679898482
MB,1,79,0.2237601679898482
MB,1,80,0.22360014012366658
MB,1,81,0.22344880683607082
MB,1,82,0.22330566131966878
MB,1,83,0.22317022981383738
MB,1,84,0.22304206909678115
MB,1,85,0.22300183477605373
MB,1,86,0.22296370315914238
MB,1,87,0.2228464574106932
MB,1,88,0.222735461744613
MB,1,89,0.22263036389286184
MB,1,90,0.22253083336936075
MB,1,91,0.2224365599303758
MB,1,92,0.22234725216258666
MB,1,93,0.2222626361864447
MB,1,94,0.22218245446380558
MB,1,95,0.22210646470003081
MB,1,96,0.2220344388318075
MB,1,97,0.22196616209286124
MB,1,98,0.22190143215056535
MB,1,99,0.22184005830716136
MB,1,100,0.22178186075995365
MB,1,101,0.22178186075995365
MB,1,102,0.22172666991541135
MB,1,103,0.22167432575258905
MB,1,104,0.22162467723176538
MB,1,105,0.22157758174454933
MB,1,106,0.22153290460209685
MB,1,107,0.22149051855837576
MB,1,108,0.22145030336570248
MB,1,109,0.22145030336570248
MB,1,110,0.22145030336570248
MB,1,111,0.22145030336570248
MB,1,112,0.22141214536003762
MB,1,113,0.22141214536003762
MB,1,114,0.22141214536003762
MB,1,115,0.22137593707373615
MB,1,116,0.22137593707373615
MB,1,117,0.2213415768736755
MB,1,118,0.22130896862284322
MB,1,119,0.22127802136365282
MB,1,120,0.22124864902139119
MB,1,121,0.22122077012634134
MB,1,122,0.22119430755324443
MB,1,123,0.22124699198352293
MB,1,124,0.22122304256647907
MB,1,125,0.22120030717357286
MB,1,126,0.22117872347219814
MB,1,127,0.22115823240795518
MB,1,128,0.22113877802462156
MB,1,129,0.22112030729475285
MB,1,130,0.22110276996020672
MB,1,131,0.22108611838195413
MB,1,132,0.22107030739857425
MB,1,133,0.22105529419288128
MB,1,134,0.2210410381661687
MB,1,135,0.22102750081959743
MB,1,136,0.22101464564227968
MB,1,137,0.2210024380056469
MB,1,138,0.22099084506372446
MB,1,139,0.2209798356589472
MB,1,140,0.2209693802331868
MB,1,141,0.2209594507436804
MB,1,142,0.22095002058357072
MB,1,143,0.22094106450677975
MB,1,144,0.2209325585569769
MB,1,145,0.22092448000038623
MB,1,146,0.2209168072622263
MB,1,147,0.2209095198665677
MB,1,148,0.22090259837941129
MB,1,149,0.22090259837941129
MB,1,150,0.22089602435481104
MB,1,151,0.22089602435481104
MB,1,152,0.22088978028386563
MB,1,153,0.22088384954641638
MB,1,154,0.22087821636530702
MB,1,155,0.2208728657630552
MB,1,156,0.22086778352080827
MB,1,157,0.2208629561394546
MB,1,158,0.22086149923462617
MB,1,159,0.22085698684219068
MB,1,160,0.2208527006693084
MB,1,161,0.2208486293463855
MB,1,162,0.22084476207804138
MB,1,163,0.22084108861383434
MB,1,164,0.22083759922050983
MB,1,165,0.22083428465568555
MB,1,166,0.22083428465568555
MB,1,167,0.22083331859136102
MB,1,168,0.22083021842481965
MB,1,169,0.22082727355458032
MB,1,170,0.22082447618770806
MB,1,171,0.22082368946669972
MB,1,172,0.22082294211709452
MB,1,173,0.22082036160986318
MB,1,174,0.22082036160986318
MB,1,175,0.22081791033438836
MB,1,176,0.22081558180893224
MB,1,177,0.22081336987781364
MB,1,178,0.22081279168992718
MB,1,179,0.22081071943122688
MB,1,180,0.22080875092087293
MB,1,181,0.2208068809582322
MB,1,182,0.2208051046039926
MB,1,183,0.22080341716697294
MB,1,184,0.2208018141916005
MB,1,185,0.2208002914460313
MB,1,186,0.220798844910868
MB,1,187,0.220798844910868
MB,1,188,0.2207974707684538
MB,1,189,0.2207974707684538
MB,1,190,0.22079616539271296
MB,1,191,0.22079492533950118
MB,1,192,0.22079374733744916
MB,1,193,0.2207926282792666
MB,1,194,0.22079156521349097
MB,1,195,0.22079055533664782
MB,1,196,0.22078959598581405
MB,1,197,0.22078868463155055
MB,1,198,0.22078845504243294
